fdc_id,food_name,category,subcategory,calories,protein,carbs,fat,fiber,iron,calcium,vitB12,vitD,zinc,sodium,potassium,magnesium,is_vegan,is_vegetarian,is_pescatarian,contains_gluten,contains_dairy,contains_eggs,contains_tree_nuts,contains_shellfish,contains_soy,contains_fish,contains_peanuts,fodmap_status,gerd_safe,gi_index,source
2768188,"Alaska Pollock, raw",fish,Foundation,0.0,17.3,0.0565,0.992,0.0,0.24,40.4,1.76,0.0,0.431,115.0,353.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,USDA
2262074,"Almond butter, creamy",fat,Foundation,0.0,20.8,21.2,53.0,9.72,4.11,264.0,0.0,0.0,3.18,0.996,745.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2257045,"Almond milk, unsweetened, plain, refrigerated",fat,Foundation,0.0,0.656,0.671,1.56,0.0,0.125,158.0,0.449,1.59,0.0766,59.2,49.3,8.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
1999631,"Almond milk, unsweetened, plain, shelf stable",fat,Foundation,0.0,0.555,0.337,1.22,0.0,0.29,173.0,0.338,0.927,0.172,59.6,30.8,6.78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2747652,"Anchovies, canned in olive oil, with salt, drained",fat,Foundation,0.0,26.9,2.41,9.85,0.0,2.69,240.0,12.6,0.0,2.54,5400.0,298.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",fruit,Foundation,0.0,0.0859,11.4,0.286,0.0,0.0402,7.1,0.0,0.0,0.00212,4.87,95.9,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
1750340,"Apples, fuji, with skin, raw",fruit,Foundation,0.0,0.148,15.7,0.162,2.08,0.015,5.98,0.0,0.0,0.0168,1.01,104.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
1750341,"Apples, gala, with skin, raw",fruit,Foundation,0.0,0.133,14.8,0.15,2.11,0.0601,6.64,0.0,0.0,0.0235,0.279,106.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
1750342,"Apples, granny smith, with skin, raw",fruit,Foundation,0.0,0.266,14.1,0.138,2.51,0.0696,5.48,0.0,0.0,0.0228,0.0,116.0,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
1750343,"Apples, honeycrisp, with skin, raw",fruit,Foundation,0.0,0.102,14.7,0.1,1.72,0.0,3.87,0.0,0.0,0.0183,0.138,98.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
1750339,"Apples, red delicious, with skin, raw",fruit,Foundation,0.0,0.188,14.8,0.212,2.04,0.0,4.66,0.0,0.0,0.0196,0.0,95.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2346414,"Applesauce, unsweetened, with added vitamin C",fruit,Foundation,0.0,0.273,12.3,0.162,0.0,0.0448,3.82,0.0,0.0,0.00262,0.504,108.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2710815,"Apricot, with skin, raw",fruit,Foundation,0.0,0.961,10.2,0.405,1.51,0.163,11.6,0.0,0.0,0.148,0.0,231.0,8.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2710822,"Arugula, baby, raw",vegetable,Foundation,0.0,1.65,5.37,0.325,2.28,1.39,204.0,0.0,0.0,0.348,86.9,407.0,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2710823,"Asparagus, green, raw",vegetable,Foundation,0.0,1.44,5.1,0.216,1.88,0.444,20.6,0.0,0.0,0.596,2.46,278.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2710824,"Avocado, Hass, peeled, raw",fruit,Foundation,0.0,1.81,8.32,20.3,0.0,0.613,14.5,0.0,0.0,0.46,0.0,576.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2758982,"Baked beans, Original, canned, with pork",protein,Foundation,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
1105073,"Bananas, overripe, raw",fruit,Foundation,85.0,0.73,20.1,0.22,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
1105314,"Bananas, ripe and slightly ripe, raw",fruit,Foundation,97.0,0.74,23.0,0.29,1.7,0.0,5.0,0.0,0.0,0.16,0.0,326.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2758983,"Beans, baked, canned, vegetarian",other,Foundation,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
